"","job_skills","count"
"1","python",2830
"2","sql",2416
"3","machine learning",1846
"4","r",1288
"5","data visualization",1088
"6","aws",956
"7","tableau",842
"8","spark",750
"9","statistics",675
"10","java",661
"11","azure",588
"12","data mining",583
"13","data modeling",535
"14","communication",526
"15","etl",504
"16","power bi",488
"17","hadoop",472
"18","snowflake",460
"19","git",432
"20","scala",410
"21","data warehousing",377
"22","artificial intelligence",374
"23","kafka",373
"24","business intelligence",372
"25","statistical analysis",361
"26","cloud computing",360
"27","tensorflow",354
"28","gcp",353
"29","docker",345
"30","kubernetes",333
"31","data management",331
"32","pandas",331
"33","pyspark",331
"34","natural language processing",318
"35","pytorch",313
"36","big data",311
"37","project management",311
"38","deep learning",302
"39","airflow",300
"40","data pipelines",299
"41","nosql",288
"42","problem solving",286
"43","agile",283
"44","databricks",275
"45","data governance",270
"46","predictive modeling",262
"47","sas",261
"48","communication skills",254
"49","statistical modeling",240
"50","data integration",239
"51","nlp",230
"52","javascript",221
"53","scikitlearn",216
"54","collaboration",212
"55","excel",212
"56","ai",209
"57","devops",209
"58","hive",207
"59","data quality",206
"60","teamwork",202
"61","mathematics",198
"62","linux",195
"63","a/b testing",193
"64","analytics",192
"65","powerbi",189
"66","software development",187
"67","s3",180
"68","computer vision",173
"69","c++",170
"70","reporting",170
"71","numpy",168
"72","mysql",167
"73","data cleaning",164
"74","problemsolving",163
"75","redshift",159
"76","relational databases",159
"77","oracle",158
"78","keras",157
"79","analytical skills",154
"80","bash",153
"81","jira",151
"82","predictive analytics",151
"83","software engineering",150
"84","algorithms",149
"85","data transformation",148
"86","troubleshooting",147
"87","generative ai",143
"88","github",141
"89","ci/cd",140
"90","apache spark",139
"91","dbt",138
"92","data processing",134
"93","data security",134
"94","terraform",134
"95","hypothesis testing",133
"96","json",133
"97","data manipulation",132
"98","matlab",131
"99","c#",130
"100","emr",127
"101","data architecture",126
"102","dynamodb",126
"103","storm",123
"104","engineering",119
"105","mongodb",117
"106","research",116
"107","data integrity",115
"108","leadership",115
"109","databases",113
"110","scrum",113
"111","optimization",110
"112","programming",109
"113","helm",108
"114","sql server",107
"115","time management",106
"116","attention to detail",105
"117","critical thinking",105
"118","data extraction",105
"119","data collection",104
"120","postgresql",104
"121","sparkstreaming",104
"122","forecasting",103
"123","agile development",102
"124","matplotlib",100
"125","data cleansing",97
"126","jenkins",96
"127","statistical techniques",96
"128","data interpretation",95
"129","regression",95
"130","azure data factory",94
"131","microservices",93
"132","clustering",92
"133","elasticsearch",92
"134","bigquery",91
