"","Work","Education","Notebook products","Visualisation tools","Learning frameworks","ML algorithms","Computer vision","NLP methods","Cloud computing","Machine learning","Big data products","BI tools","AML tools","Programming language","IDE"
"1","Business Analyst","Bachelor’s degree",219,340,292,457,261,92,373,345,482,329,191,444,659
"2","Business Analyst","Doctoral degree",28,56,70,111,75,31,44,39,81,62,20,80,94
"3","Business Analyst","I prefer not to answer",7,13,11,19,10,4,5,5,16,8,4,31,18
"4","Business Analyst","Master’s degree",361,686,659,1031,344,119,570,454,752,631,238,833,1244
"5","Business Analyst","No formal education past high school",7,16,12,17,3,1,14,15,31,26,9,18,22
"6","Business Analyst","Professional degree",40,57,53,82,46,22,66,52,91,58,23,97,106
"7","Business Analyst","Some college/university study without earning a bachelor’s degree",20,31,21,38,7,5,33,32,43,25,14,31,60
"8","DBA/Database Engineer","Bachelor’s degree",23,58,45,74,24,6,63,44,110,45,29,109,129
"9","DBA/Database Engineer","Doctoral degree",9,12,10,17,1,1,16,8,20,10,4,22,31
"10","DBA/Database Engineer","I prefer not to answer",5,7,4,5,1,1,17,13,42,13,4,20,19
"11","DBA/Database Engineer","Master’s degree",60,88,96,150,72,35,105,68,150,67,48,144,194
"12","DBA/Database Engineer","No formal education past high school",1,1,1,1,1,1,1,1,1,1,1,3,3
"13","DBA/Database Engineer","Professional degree",8,10,12,19,1,3,14,14,28,10,3,23,26
"14","DBA/Database Engineer","Some college/university study without earning a bachelor’s degree",6,5,7,8,1,1,5,6,18,4,3,23,20
"15","Data Analyst","Bachelor’s degree",530,951,758,1210,544,209,721,621,1153,720,388,1069,1600
"16","Data Analyst","Doctoral degree",56,130,132,242,83,37,83,78,145,80,63,172,188
"17","Data Analyst","I prefer not to answer",20,41,39,67,13,23,13,10,23,12,6,45,66
"18","Data Analyst","Master’s degree",671,1402,1237,1922,842,300,928,770,1426,1007,478,1543,2307
"19","Data Analyst","No formal education past high school",12,15,20,24,9,3,7,4,14,11,1,18,26
"20","Data Analyst","Professional degree",64,122,87,143,80,27,89,58,115,89,51,139,212
"21","Data Analyst","Some college/university study without earning a bachelor’s degree",59,90,78,113,52,44,95,88,160,91,55,128,194
"22","Data Engineer","Bachelor’s degree",166,264,261,365,246,77,188,189,380,147,83,346,499
"23","Data Engineer","Doctoral degree",58,86,94,164,201,70,77,75,98,42,33,116,153
"24","Data Engineer","I prefer not to answer",5,12,13,23,24,2,10,12,15,7,6,25,21
"25","Data Engineer","Master’s degree",287,444,503,795,555,249,285,223,517,235,105,594,803
"26","Data Engineer","No formal education past high school",3,5,7,5,10,1,3,4,7,4,2,5,9
"27","Data Engineer","Professional degree",19,20,25,40,29,16,22,20,34,10,8,34,48
"28","Data Engineer","Some college/university study without earning a bachelor’s degree",23,37,45,72,25,23,24,24,56,21,11,54,53
"29","Data Scientist","Bachelor’s degree",959,1614,1991,3079,2201,901,901,836,1300,716,553,1540,2491
"30","Data Scientist","Doctoral degree",500,1149,1453,2389,1632,640,576,483,826,318,274,1248,1778
"31","Data Scientist","I prefer not to answer",42,60,80,112,93,32,36,37,57,31,18,77,117
"32","Data Scientist","Master’s degree",1759,3699,4547,7383,4911,2368,1800,1639,2808,1388,1125,3511,5460
"33","Data Scientist","No formal education past high school",18,21,35,64,38,22,12,12,21,9,4,32,41
